# (0.23s) num_sigs = 14
(0.23s) iter = 0
(8.57s) iter = 10
(16.23s) iter = 20
(24.03s) iter = 30
(31.45s) iter = 40
(39.47s) iter = 50
(46.86s) iter = 60
(54.11s) iter = 70
(61.30s) iter = 80
(68.69s) iter = 90
(76.07s) iter = 100
(84.30s) iter = 110
(91.78s) iter = 120
(99.39s) iter = 130
(106.95s) iter = 140
(114.30s) iter = 150
(121.71s) iter = 160
(129.01s) iter = 170
(136.75s) iter = 180
(144.77s) iter = 190
(153.00s) iter = 200
(160.36s) iter = 210
(167.82s) iter = 220
(175.22s) iter = 230
(182.48s) iter = 240
(189.89s) iter = 250
(197.50s) iter = 260
(205.05s) iter = 270
(212.36s) iter = 280
(219.69s) iter = 290
(226.94s) iter = 300
(234.22s) iter = 310
(241.55s) iter = 320
(248.75s) iter = 330
(256.03s) iter = 340
(263.68s) iter = 350
(270.94s) iter = 360
(278.36s) iter = 370
(285.65s) iter = 380
(292.85s) iter = 390
(300.13s) iter = 400
(307.36s) iter = 410
(315.04s) iter = 420
(322.57s) iter = 430
(329.81s) iter = 440
(337.04s) iter = 450
(344.91s) iter = 460
(352.32s) iter = 470
(359.71s) iter = 480
(366.94s) iter = 490
(374.27s) iter = 500
(381.67s) iter = 510
(388.93s) iter = 520
(396.33s) iter = 530
(404.07s) iter = 540
(411.34s) iter = 550
(418.59s) iter = 560
(425.90s) iter = 570
(433.23s) iter = 580
(441.05s) iter = 590
(448.34s) iter = 600
(455.86s) iter = 610
(463.23s) iter = 620
(470.53s) iter = 630
(477.90s) iter = 640
(485.24s) iter = 650
(492.56s) iter = 660
(500.29s) iter = 670
(507.81s) iter = 680
(515.35s) iter = 690
(522.58s) iter = 700
(529.87s) iter = 710
(537.32s) iter = 720
(545.40s) iter = 730
(553.26s) iter = 740
(560.81s) iter = 750
(568.34s) iter = 760
(575.82s) iter = 770
(581.45s) iter = 780
(589.33s) iter = 790
(596.91s) iter = 800
(604.37s) iter = 810
(611.80s) iter = 820
(619.25s) iter = 830
(626.53s) iter = 840
(633.85s) iter = 850
(641.38s) iter = 860
(648.73s) iter = 870
(655.95s) iter = 880
(663.17s) iter = 890
(670.40s) iter = 900
(677.70s) iter = 910
(684.94s) iter = 920
(692.17s) iter = 930
(699.40s) iter = 940
(706.62s) iter = 950
(713.82s) iter = 960
(721.09s) iter = 970
(728.29s) iter = 980
(735.98s) iter = 990
success = 1000
count = 1000
